GM = 4.911328E12
orbital radius = 1837400.0 m
velocity = 1634.9241672822895 m/s
predicted period = 7061.3212003602575 s
state.size = 4
state = [ 1837400.0, 0.0, 0.0, 1634.9241672822895 ]

t, x, y, vx, vy, am, en, radius, v
22.5, 1837031.776035668, 36783.33637990488, -32.7299257650922, 1634.5965204670845, 3.0040096649644785E9, -1336488.5163818442, 1837399.9999999995, 1634.9241672822898
23.0, 1837015.2292647024, 37600.6309727776, -33.45715700580013, 1634.5817970994224, 3.004009664964478E9, -1336488.5163818444, 1837399.9999999995, 1634.9241672822895
23.5, 1836998.318879766, 38417.91812308016, -34.18438162408626, 1634.5667501869316, 3.004009664964478E9, -1336488.5163818449, 1837399.9999999993, 1634.9241672822895
24.0, 1836981.044884206, 39235.19766904089, -34.91159947600565, 1634.5513797325905, 3.004009664964478E9, -1336488.5163818442, 1837399.9999999995, 1634.9241672822898
24.5, 1836963.4072814416, 40052.46944888962, -35.638810417614714, 1634.5356857394413, 3.004009664964478E9, -1336488.5163818446, 1837399.9999999993, 1634.9241672822898
25.0, 1836945.406074964, 40869.73330085772, -36.36601430497123, 1634.5196682105905, 3.004009664964478E9, -1336488.5163818446, 1837399.9999999993, 1634.9241672822898
25.5, 1836927.0412683364, 41686.98906317812, -37.09321099413437, 1634.5033271492086, 3.004009664964478E9, -1336488.5163818446, 1837399.9999999993, 1634.9241672822898
26.0, 1836908.3128651937, 42504.23657408538, -37.82040034116472, 1634.48666255853, 3.004009664964478E9, -1336488.5163818444, 1837399.9999999995, 1634.9241672822895
26.5, 1836889.220869243, 43321.47567181566, -38.54758220212434, 1634.4696744418534, 3.0040096649644775E9, -1336488.5163818446, 1837399.9999999995, 1634.9241672822893
27.0, 1836869.7652842633, 44138.70619460679, -39.27475643307675, 1634.4523628025413, 3.004009664964478E9, -1336488.5163818446, 1837399.9999999995, 1634.9241672822893
27.5, 1836849.9461141056, 44955.927980698325, -40.00192289008701, 1634.4347276440203, 3.0040096649644775E9, -1336488.5163818446, 1837399.9999999995, 1634.9241672822893
28.0, 1836829.763362693, 45773.140868331524, -40.729081429221694, 1634.4167689697813, 3.004009664964478E9, -1336488.5163818446, 1837399.9999999995, 1634.9241672822893
28.5, 1836809.21703402, 46590.34469574941, -41.45623190654894, 1634.3984867833788, 3.004009664964478E9, -1336488.5163818444, 1837399.9999999995, 1634.9241672822895
29.0, 1836788.307132154, 47407.539301196804, -42.18337417813851, 1634.3798810884314, 3.0040096649644785E9, -1336488.5163818444, 1837399.9999999998, 1634.9241672822895
29.5, 1836767.0336612335, 48224.72452292036, -42.910508100061755, 1634.360951888622, 3.004009664964478E9, -1336488.5163818444, 1837399.9999999995, 1634.9241672822895
30.0, 1836745.3966254694, 49041.90019916857, -43.63763352839171, 1634.3416991876973, 3.004009664964478E9, -1336488.5163818444, 1837399.9999999995, 1634.9241672822895
30.5, 1836723.3960291448, 49859.066168191835, -44.36475031920307, 1634.3221229894682, 3.004009664964478E9, -1336488.5163818444, 1837399.9999999995, 1634.9241672822895
31.0, 1836701.0318766139, 50676.22226824247, -45.09185832857224, 1634.3022232978096, 3.004009664964478E9, -1336488.5163818444, 1837399.9999999995, 1634.9241672822895
31.5, 1836678.3041723038, 51493.368337574735, -45.81895741257738, 1634.2820001166604, 3.004009664964478E9, -1336488.5163818446, 1837399.9999999995, 1634.9241672822893
32.0, 1836655.212920713, 52310.50421444488, -46.54604742729841, 1634.2614534500235, 3.0040096649644785E9, -1336488.5163818444, 1837399.9999999998, 1634.9241672822895
32.5, 1836631.758126412, 53127.62973711119, -47.27312822881703, 1634.240583301966, 3.0040096649644785E9, -1336488.5163818444, 1837399.9999999995, 1634.9241672822895
33.0, 1836607.9397940438, 53944.744743833966, -48.000199673216784, 1634.2193896766184, 3.0040096649644785E9, -1336488.5163818442, 1837399.9999999998, 1634.9241672822898
33.5, 1836583.7579283225, 54761.84907287562, -48.72726161658306, 1634.1978725781762, 3.004009664964479E9, -1336488.5163818444, 1837399.9999999998, 1634.9241672822895
34.0, 1836559.2125340349, 55578.94256250067, -49.45431391500311, 1634.1760320108983, 3.004009664964479E9, -1336488.5163818437, 1837400.0, 1634.9241672822898
34.5, 1836534.303616039, 56396.02505097577, -50.18135642456613, 1634.1538679791076, 3.004009664964479E9, -1336488.5163818442, 1837399.9999999998, 1634.9241672822898
35.0, 1836509.0311792656, 57213.09637656975, -50.90838900136323, 1634.1313804871913, 3.0040096649644785E9, -1336488.5163818444, 1837399.9999999998, 1634.9241672822895
35.5, 1836483.395228717, 58030.15637755368, -51.63541150148749, 1634.1085695396007, 3.0040096649644785E9, -1336488.5163818444, 1837399.9999999998, 1634.9241672822895
36.0, 1836457.3957694676, 58847.204892200825, -52.36242378103398, 1634.0854351408507, 3.0040096649644785E9, -1336488.5163818444, 1837399.9999999998, 1634.9241672822895
36.5, 1836431.0328066635, 59664.24175878676, -53.08942569609981, 1634.0619772955206, 3.004009664964479E9, -1336488.516381844, 1837400.0, 1634.9241672822895
37.0, 1836404.3063455229, 60481.266815589355, -53.816417102784115, 1634.0381960082534, 3.0040096649644785E9, -1336488.5163818442, 1837399.9999999998, 1634.9241672822898
37.5, 1836377.216391336, 61298.27990088881, -54.54339785718813, 1634.0140912837564, 3.0040096649644785E9, -1336488.5163818444, 1837399.9999999998, 1634.9241672822895
38.0, 1836349.7629494648, 62115.2808529677, -55.270367815415206, 1633.989663126801, 3.0040096649644785E9, -1336488.5163818444, 1837399.9999999995, 1634.9241672822895
38.5, 1836321.9460253438, 62932.269510111, -55.9973268335708, 1633.9649115422221, 3.0040096649644785E9, -1336488.5163818444, 1837399.9999999998, 1634.9241672822895
39.0, 1836293.7656244787, 63749.24571060613, -56.724274767762566, 1633.9398365349193, 3.0040096649644785E9, -1336488.5163818446, 1837399.9999999998, 1634.9241672822893
39.5, 1836265.2217524473, 64566.209292742955, -57.45121147410033, 1633.9144381098558, 3.0040096649644785E9, -1336488.5163818446, 1837399.9999999995, 1634.9241672822893
